TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-11 02:16:43,1770776203813,asansor.ro/api/projects,GET,,,n7khn-1770776203813-4c5ba7269742,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,,,middleware,middleware,asansor.ro,,dpl_CG9wKMDsksXjWzeNVHyPEvzEEE3D,7,fra1,121,2048,,prj_5zsJENaUmrukTnahyTdF8kogJKTH,,,01KH57S4HA3X6SEVV40V01EDHD,iAHlHH0eWeyC,1
2026-02-11 02:16:42,1770776202221,asansor.ro/admin,GET,_rsc=tg9kl,200,lptkv-1770776202221-163c65631f8d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,middleware,middleware,asansor.ro,asansorro-4ggmr726n-hans-projects-57a42e92.vercel.app,dpl_CG9wKMDsksXjWzeNVHyPEvzEEE3D,8,fra1,121,2048,,prj_5zsJENaUmrukTnahyTdF8kogJKTH,,,01KH57S2ZK2MESJACMJ322FEVW,iAHlHH0eWeyC,1
2026-02-11 02:16:42,1770776202221,asansor.ro/admin,GET,_rsc=tg9kl,200,lptkv-1770776202221-163c65631f8d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,function,/admin.rsc,asansor.ro,asansorro-4ggmr726n-hans-projects-57a42e92.vercel.app,dpl_CG9wKMDsksXjWzeNVHyPEvzEEE3D,8,iad1,289,2048,,prj_5zsJENaUmrukTnahyTdF8kogJKTH,,,01KH57S31T9S8E1D5PTZKYDWX1,RRvmkfPHOxK0,1
2026-02-11 02:16:42,1770776202093,asansor.ro/admin/quotes,GET,_rsc=pp944,200,nxq7w-1770776202093-d2252c04b6d4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,PRERENDER,middleware,middleware,asansor.ro,asansorro-4ggmr726n-hans-projects-57a42e92.vercel.app,dpl_CG9wKMDsksXjWzeNVHyPEvzEEE3D,8,fra1,123,2048,,prj_5zsJENaUmrukTnahyTdF8kogJKTH,,,01KH57S2VJ5S344ES87XR8DRK1,qFkFyiNDuzlI,1
2026-02-11 02:16:42,1770776202093,asansor.ro/admin/quotes,GET,_rsc=pp944,200,nxq7w-1770776202093-d2252c04b6d4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,PRERENDER,static,/admin/quotes.segments/admin/quotes.segment,asansor.ro,asansorro-4ggmr726n-hans-projects-57a42e92.vercel.app,dpl_CG9wKMDsksXjWzeNVHyPEvzEEE3D,142,fra1,,,,prj_5zsJENaUmrukTnahyTdF8kogJKTH,,,,,
2026-02-11 02:16:42,1770776202093,asansor.ro/admin/quotes,GET,_rsc=1u9hu,200,f2nkx-1770776202093-5c95aeed3bd4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,PRERENDER,middleware,middleware,asansor.ro,asansorro-4ggmr726n-hans-projects-57a42e92.vercel.app,dpl_CG9wKMDsksXjWzeNVHyPEvzEEE3D,7,fra1,121,2048,,prj_5zsJENaUmrukTnahyTdF8kogJKTH,,,01KH57S2VH76K2FZJSRK3M3QZK,iAHlHH0eWeyC,1
2026-02-11 02:16:42,1770776202093,asansor.ro/admin/quotes,GET,_rsc=1u9hu,200,f2nkx-1770776202093-5c95aeed3bd4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,PRERENDER,static,/admin/quotes.segments/admin/quotes/__PAGE__.segment,asansor.ro,asansorro-4ggmr726n-hans-projects-57a42e92.vercel.app,dpl_CG9wKMDsksXjWzeNVHyPEvzEEE3D,328,fra1,,,,prj_5zsJENaUmrukTnahyTdF8kogJKTH,,,,,
2026-02-11 02:16:42,1770776202041,asansor.ro/admin/quotes,GET,_rsc=m0mb1,200,fhcph-1770776202041-810876ef7cbb,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,PRERENDER,middleware,middleware,asansor.ro,asansorro-4ggmr726n-hans-projects-57a42e92.vercel.app,dpl_CG9wKMDsksXjWzeNVHyPEvzEEE3D,7,fra1,123,2048,,prj_5zsJENaUmrukTnahyTdF8kogJKTH,,,01KH57S2SWT3H2KYG1MKF6FVK9,qFkFyiNDuzlI,1
2026-02-11 02:16:42,1770776202041,asansor.ro/admin/quotes,GET,_rsc=m0mb1,200,fhcph-1770776202041-810876ef7cbb,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,PRERENDER,static,/admin/quotes.segments/_head.segment,asansor.ro,asansorro-4ggmr726n-hans-projects-57a42e92.vercel.app,dpl_CG9wKMDsksXjWzeNVHyPEvzEEE3D,148,fra1,,,,prj_5zsJENaUmrukTnahyTdF8kogJKTH,,,,,
2026-02-11 02:16:42,1770776202024,asansor.ro/admin/references,GET,_rsc=urmts,200,8kjqj-1770776202024-7dab3928b793,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,PRERENDER,middleware,middleware,asansor.ro,asansorro-4ggmr726n-hans-projects-57a42e92.vercel.app,dpl_CG9wKMDsksXjWzeNVHyPEvzEEE3D,7,fra1,121,2048,,prj_5zsJENaUmrukTnahyTdF8kogJKTH,,,01KH57S2SCFJTYH6NRPYT4912B,iAHlHH0eWeyC,1
